"Abbey","4c4f56","abbey"
"Absolute Zero","0048ba","absolute zero"
"Acadia","1b1404","acadia"
"Acapulco","7cb0a1","acapulco"
"Aero Blue","c9ffe5","aero blue"
"Affair","714693","affair"
"Akaroa","d4c4a8","akaroa"
"Alabaster","fafafa","alabaster"
"Albescent White","f5e9d3","albescent white"
"Algae Green","93dfb8","algae green"
"Alice Blue","f0f8ff","alice blue"
"Alien Armpit","84de02","alien armpit"
"Alizarin Crimson","e32636","alizarin crimson"
"Alloy Orange","c46210","alloy orange"
"Allports","0076a3","allports"
"Almond Frost","907b71","almond frost"
"Almond","eed9c4","almond"
"Almond","efdecd","almond"
"Alpine","af8f2c","alpine"
"Alto","dbdbdb","alto"
"Aluminium","a9acb6","aluminium"
"Amaranth","e52b50","amaranth"
"Amazon","3b7a57","amazon"
"Amber","ffbf00","amber"
"Americano","87756e","americano"
"Amethyst Smoke","a397b4","amethyst smoke"
"Amethyst","64609a","amethyst"
"Amethyst","9966cc","amethyst"
"Amour","f9eaf3","amour"
"Amulet","7b9f80","amulet"
"Anakiwa","9de5ff","anakiwa"
"Antique Brass","c88a65","antique brass"
"Antique Brass","cd9575","antique brass"
"Antique Bronze","704a07","antique bronze"
"Anzac","e0b646","anzac"
"Apache","dfbe6f","apache"
"Apple Blossom","af4d43","apple blossom"
"Apple Green","e2f3ec","apple green"
"Apple","4fa83d","apple"
"Apricot Peach","fbceb1","apricot peach"
"Apricot White","fffeec","apricot white"
"Apricot","eb9373","apricot"
"Apricot","fdd9b5","apricot"
"Aqua Deep","014b43","aqua deep"
"Aqua Forest","5fa777","aqua forest"
"Aqua Haze","edf5f5","aqua haze"
"Aqua Island","a1dad7","aqua island"
"Aqua Pearl","5fbed7","aqua pearl"
"Aqua Spring","eaf9f5","aqua spring"
"Aqua Squeeze","e8f5f2","aqua squeeze"
"Aquamarine Blue","71d9e2","aquamarine blue"
"Aquamarine","78dbe2","aquamarine"
"Aquamarine","7fffd4","aquamarine"
"Arapawa","110c6c","arapawa"
"Armadillo","433e37","armadillo"
"Arrowtown","948771","arrowtown"
"Ash","c6c3b5","ash"
"Asparagus","7ba05b","asparagus"
"Asparagus","87a96b","asparagus"
"Asphalt","130a06","asphalt"
"Astra","faeab9","astra"
"Astral","327da0","astral"
"Astronaut Blue","013e62","astronaut blue"
"Astronaut","283a77","astronaut"
"Athens Gray","eef0f3","athens gray"
"Aths Special","ecebce","aths special"
"Atlantis","97cd2d","atlantis"
"Atoll","0a6f75","atoll"
"Atomic Tangerine","ff9966","atomic tangerine"
"Atomic Tangerine","ffa474","atomic tangerine"
"Au Chico","97605d","au chico"
"Aubergine","3b0910","aubergine"
"Australian Mint","f5ffbe","australian mint"
"Avocado","888d65","avocado"
"Axolotl","4e6649","axolotl"
"Azalea","f7c8da","azalea"
"Aztec Gold","c39953","aztec gold"
"Aztec","0d1c19","aztec"
"Azure Radiance","007fff","azure radiance"
"Azure","315ba1","azure"
"Baby Blue","e0ffff","baby blue"
"Baby Powder","fefefa","baby powder"
"Bahama Blue","026395","bahama blue"
"Bahia","a5cb0c","bahia"
"Baja White","fff8d1","baja white"
"Bali Hai","859faf","bali hai"
"Baltic Sea","2a2630","baltic sea"
"Bamboo","da6304","bamboo"
"Banana Mania","fae7b5","banana mania"
"Banana Mania","fbe7b2","banana mania"
"Banana","ffd12a","banana"
"Bandicoot","858470","bandicoot"
"Barberry","ded717","barberry"
"Barley Corn","a68b5b","barley corn"
"Barley White","fff4ce","barley white"
"Barossa","44012d","barossa"
"Bastille","292130","bastille"
"Battleship Gray","828f72","battleship gray"
"Bay Leaf","7da98d","bay leaf"
"Bay of Many","273a81","bay of many"
"Bazaar","98777b","bazaar"
"Bdazzled Blue","2e5894","bdazzled blue"
"Bean ","3d0c02","bean "
"Beauty Bush","eec1be","beauty bush"
"Beaver","926f5b","beaver"
"Beaver","9f8170","beaver"
"Beeswax","fef2c7","beeswax"
"Beige","f5f5dc","beige"
"Bermuda Gray","6b8ba2","bermuda gray"
"Bermuda","7dd8c6","bermuda"
"Beryl Green","dee5c0","beryl green"
"Bianca","fcfbf3","bianca"
"Big Dip O Ruby","9c2542","big dip o ruby"
"Big Foot Feet","e88e5a","big foot feet"
"Big Stone","162a40","big stone"
"Bilbao","327c14","bilbao"
"Biloba Flower","b2a1ea","biloba flower"
"Birch","373021","birch"
"Bird Flower","d4cd16","bird flower"
"Biscay","1b3162","biscay"
"Bismark","497183","bismark"
"Bison Hide","c1b7a4","bison hide"
"Bistre","3d2b1f","bistre"
"Bitter Lemon","cae00d","bitter lemon"
"Bitter","868974","bitter"
"Bittersweet Shimmer","bf4f51","bittersweet shimmer"
"Bittersweet","fd7c6e","bittersweet"
"Bittersweet","fe6f5e","bittersweet"
"Bizarre","eededa","bizarre"
"Black Bean","081910","black bean"
"Black Coral Pearl","54626f","black coral pearl"
"Black Forest","0b1304","black forest"
"Black Haze","f6f7f7","black haze"
"Black Marlin","3e2c1c","black marlin"
"Black Olive","242e16","black olive"
"Black Pearl","041322","black pearl"
"Black Rock","0d0332","black rock"
"Black Rose","67032d","black rose"
"Black Russian","0a001c","black russian"
"Black Shadows","bfafb2","black shadows"
"Black Squeeze","f2fafa","black squeeze"
"Black White","fffef6","black white"
"Black","000000","black"
"Blackberry","4d0135","blackberry"
"Blackcurrant","32293a","blackcurrant"
"Blast Off Bronze","a57164","blast off bronze"
"Blaze Orange","ff6600","blaze orange"
"Bleach White","fef3d8","bleach white"
"Bleached Cedar","2c2133","bleached cedar"
"Blizzard Blue","a3e3ed","blizzard blue"
"Blizzard Blue","ace5ee","blizzard blue"
"Blossom","dcb4bc","blossom"
"Blue Bayoux","496679","blue bayoux"
"Blue Bell","9999cc","blue bell"
"Blue Bell","a2a2d0","blue bell"
"Blue Chalk","f1e9ff","blue chalk"
"Blue Charcoal","010d1a","blue charcoal"
"Blue Chill","0c8990","blue chill"
"Blue Diamond","380474","blue diamond"
"Blue Dianne","204852","blue dianne"
"Blue Gem","2c0e8c","blue gem"
"Blue Gray","00069c","blue gray"
"Blue Green","0d98ba","blue green"
"Blue Haze","bfbed8","blue haze"
"Blue Jeans","5dadec","blue jeans"
"Blue Lagoon","017987","blue lagoon"
"Blue Marguerite","7666c6","blue marguerite"
"Blue Ribbon","0066ff","blue ribbon"
"Blue Romance","d2f6de","blue romance"
"Blue Smoke","748881","blue smoke"
"Blue Stone","016162","blue stone"
"Blue Violet","6456b7","blue violet"
"Blue Violet","7366bd","blue violet"
"Blue Whale","042e4c","blue whale"
"Blue Zodiac","13264d","blue zodiac"
"Blue","0000ff","blue"
"Blue","1f75fe","blue"
"Blueberry","4f86f7","blueberry"
"Blumine","18587a","blumine"
"Blush Pink","ff6fff","blush pink"
"Blush","b44668","blush"
"Blush","de5d83","blush"
"Bombay","afb1b8","bombay"
"Bon Jour","e5e0e1","bon jour"
"Bondi Blue","0095b6","bondi blue"
"Bone","e4d1c0","bone"
"Booger Buster","dde26a","booger buster"
"Bordeaux","5c0120","bordeaux"
"Bossanova","4e2a5a","bossanova"
"Boston Blue","3b91b4","boston blue"
"Botticelli","c7dde5","botticelli"
"Bottle Green","093624","bottle green"
"Boulder","7a7a7a","boulder"
"Bouquet","ae809e","bouquet"
"Bourbon","ba6f1e","bourbon"
"Bracken","4a2a04","bracken"
"Brandy Punch","cd8429","brandy punch"
"Brandy Rose","bb8983","brandy rose"
"Brandy","dec196","brandy"
"Breaker Bay","5da19f","breaker bay"
"Brick Red","c62d42","brick red"
"Brick Red","cb4154","brick red"
"Bridal Heath","fffaf4","bridal heath"
"Bridesmaid","fef0ec","bridesmaid"
"Bright Gray","3c4151","bright gray"
"Bright Green","66ff00","bright green"
"Bright Red","b10000","bright red"
"Bright Sun","fed33c","bright sun"
"Bright Turquoise","08e8de","bright turquoise"
"Bright Yellow","ffaa1d","bright yellow"
"Brilliant Rose","f653a6","brilliant rose"
"Brink Pink","fb607f","brink pink"
"Bronco","aba196","bronco"
"Bronze Olive","4e420c","bronze olive"
"Bronze","3f2109","bronze"
"Bronzetone","4d400f","bronzetone"
"Broom","ffec13","broom"
"Brown Bramble","592804","brown bramble"
"Brown Derby","492615","brown derby"
"Brown Pod","401801","brown pod"
"Brown Rust","af593e","brown rust"
"Brown Sugar","af6e4d","brown sugar"
"Brown Tumbleweed","37290e","brown tumbleweed"
"Brown","964b00","brown"
"Brown","b4674d","brown"
"Bubble Gum","ffd3f8","bubble gum"
"Bubbles","e7feff","bubbles"
"Buccaneer","622f30","buccaneer"
"Bud","a8ae9c","bud"
"Buddha Gold","c1a004","buddha gold"
"Buff","f0dc82","buff"
"Bulgarian Rose","480607","bulgarian rose"
"Bull Shot","864d1e","bull shot"
"Bunker","0d1117","bunker"
"Bunting","151f4c","bunting"
"Burgundy","900020","burgundy"
"Burnham","002e20","burnham"
"Burning Orange","ff7034","burning orange"
"Burning Sand","d99376","burning sand"
"Burnished Brown","a17a74","burnished brown"
"Burnt Maroon","420303","burnt maroon"
"Burnt Orange","cc5500","burnt orange"
"Burnt Orange","ff7f49","burnt orange"
"Burnt Sienna","e97451","burnt sienna"
"Burnt Sienna","ea7e5d","burnt sienna"
"Burnt Umber","8a3324","burnt umber"
"Bush","0d2e1c","bush"
"Buttercup","f3ad16","buttercup"
"Buttered Rum","a1750d","buttered rum"
"Butterfly Bush","624e9a","butterfly bush"
"Buttermilk","fff1b5","buttermilk"
"Buttery White","fffcea","buttery white"
"Cab Sav","4d0a18","cab sav"
"Cabaret","d94972","cabaret"
"Cabbage Pont","3f4c3a","cabbage pont"
