"Absolute Zero","#0048ba","absolute zero"
"Alien Armpit","#84de02","alien armpit"
"Alloy Orange","#c46210","alloy orange"
"Almond","#efdecd","almond"
"Amethyst","#64609a","amethyst"
"Antique Brass","#cd9575","antique brass"
"Apricot","#fdd9b5","apricot"
"Aqua Pearl","#5fbed7","aqua pearl"
"Aquamarine","#78dbe2","aquamarine"
"Asparagus","#87a96b","asparagus"
"Atomic Tangerine","#ffa474","atomic tangerine"
"Aztec Gold","#c39953","aztec gold"
"Baby Powder","#fefefa","baby powder"
"Banana Mania","#fae7b5","banana mania"
"Banana","#ffd12a","banana"
"Bdazzled Blue","#2e5894","bdazzled blue"
"Beaver","#9f8170","beaver"
"Big Dip O Ruby","#9c2542","big dip o ruby"
"Big Foot Feet","#e88e5a","big foot feet"
"Bittersweet Shimmer","#bf4f51","bittersweet shimmer"
"Bittersweet","#fd7c6e","bittersweet"
"Black Coral Pearl","#54626f","black coral pearl"
"Black Shadows","#bfafb2","black shadows"
"Black","#000000","black"
"Blast Off Bronze","#a57164","blast off bronze"
"Blizzard Blue","#ace5ee","blizzard blue"
"Blue Bell","#a2a2d0","blue bell"
"Blue Gray","#00069c","blue gray"
"Blue Green","#0d98ba","blue green"
"Blue Jeans","#5dadec","blue jeans"
"Blue Violet","#7366bd","blue violet"
"Blue","#1f75fe","blue"
"Blueberry","#4f86f7","blueberry"
"Blush","#de5d83","blush"
"Booger Buster","#dde26a","booger buster"
"Brick Red","#cb4154","brick red"
"Bright Yellow","#ffaa1d","bright yellow"
"Brown Sugar","#af6e4d","brown sugar"
"Brown","#b4674d","brown"
"Bubble Gum","#ffd3f8","bubble gum"
"Burnished Brown","#a17a74","burnished brown"
"Burnt Orange","#ff7f49","burnt orange"
"Burnt Sienna","#ea7e5d","burnt sienna"
"Cadet Blue","#b0b7c6","cadet blue"
"Canary","#000ff9","canary"
"Caribbean Green Pearl","#6ada8e","caribbean green pearl"
"Caribbean Green","#1cd3a2","caribbean green"
"Carnation Pink","#000fac","carnation pink"
"Cedar Chest","#c95a49","cedar chest"
"Cerise","#dd4492","cerise"
"Cerulean Frost","#6d9bc3","cerulean frost"
"Cerulean","#1dacd6","cerulean"
"Cherry","#da2647","cherry"
"Chestnut","#bc5d58","chestnut"
"Chocolate","#bd8260","chocolate"
"Cinnamon Satin","#cd607e","cinnamon satin"
"Citrine","#933709","citrine"
"Coconut","#fefefe","coconut"
"Copper Penny","#ad6f69","copper penny"
"Copper","#dd9475","copper"
"Cornflower","#9aceeb","cornflower"
"Cosmic Cobalt","#2e2d88","cosmic cobalt"
"Cotton Candy","#ffbcd9","cotton candy"
"Cultured Pearl","#f5f5f5","cultured pearl"
"Cyber Grape","#58427c","cyber grape"
"Daffodil","#ffff31","daffodil"
"Dandelion","#fddb6d","dandelion"
"Deep Space Sparkle","#4a646c","deep space sparkle"
"Denim Blue","#2243b6","denim blue"
"Denim","#2b6cc4","denim"
"Desert Sand","#efcdb8","desert sand"
"Dingy Dungeon","#c53151","dingy dungeon"
"Dirt","#9b7653","dirt"
"Eerie Black","#1b1b1b","eerie black"
"Eggplant","#6e5160","eggplant"
"Electric Lime","#ceff1d","electric lime"
"Emerald","#14a989","emerald"
"Eucalyptus","#44d7a8","eucalyptus"
"Fern","#71bc78","fern"
"Fiery Rose","#ff5470","fiery rose"
"Forest Green","#6dae81","forest green"
"Fresh Air","#a6e7ff","fresh air"
"Frostbite","#e936a7","frostbite"
"Fuchsia","#c364c5","fuchsia"
"Fuzzy Wuzzy","#000c66","fuzzy wuzzy"
"Gargoyle Gas","#ffdf46","gargoyle gas"
"Giants Club","#b05c52","giants club"
"Glossy Grape","#ab92b3","glossy grape"
"Gold Fusion","#85754e","gold fusion"
"Gold","#e7c697","gold"
"Goldenrod","#fcd975","goldenrod"
"Granite Gray","#676767","granite gray"
"Granny Smith Apple","#a8e4a0","granny smith apple"
"Grape","#6f2da8","grape"
"Gray","#95918c","gray"
"Green Blue","#1164b4","green blue"
"Green Lizard","#a7f432","green lizard"
"Green Sheen","#6eaea1","green sheen"
"Green Yellow","#f0e891","green yellow"
"Green","#1cac78","green"
"Heat Wave","#ff7a00","heat wave"
"Hot Magenta","#ff1dce","hot magenta"
"Illuminating Emerald","#319177","illuminating emerald"
"Inchworm","#b2ec5d","inchworm"
"Indigo","#5d76cb","indigo"
"Jade","#469a84","jade"
"Jasper","#d05340","jasper"
"Jazzberry Jam","#ca3767","jazzberry jam"
"Jelly Bean","#da614e","jelly bean"
"Jungle Green","#3bb08f","jungle green"
"Key Lime Pearl","#e8f48c","key lime pearl"
"Lapis Lazuli","#436cb9","lapis lazuli"
"Laser Lemon","#fefe22","laser lemon"
"Lavender","#fcb4d5","lavender"
"Leather Jacket","#253529","leather jacket"
"Lemon Glacier","#fdff00","lemon glacier"
"Lemon Yellow","#fff44f","lemon yellow"
"Lemon","#ffff38","lemon"
"Licorice","#1a1110","licorice"
"Lilac Luster","#ae98aa","lilac luster"
"Lilac","#db91ef","lilac"
"Lime","#b2f302","lime"
"Lumber","#ffe4cd","lumber"
"Macaroni Cheese","#ffbd88","macaroni cheese"
"Magenta","#f664af","magenta"
"Magic Mint","#aaf0d1","magic mint"
"Magic Potion","#000f46","magic potion"
"Mahogany","#cd4a4c","mahogany"
"Maize","#edd19c","maize"
"Malachite","#469496","malachite"
"Manatee","#979aaa","manatee"
"Mandarin Pearl","#f37a48","mandarin pearl"
"Mango Tango","#ff8243","mango tango"
"Maroon","#c8385a","maroon"
"Mauvelous","#ef98aa","mauvelous"
"Melon","#fdbcb4","melon"
"Metallic Seaweed","#0a7e8c","metallic seaweed"
"Metallic Sunburst","#9c7c38","metallic sunburst"
"Midnight Blue","#1a4876","midnight blue"
"Midnight Pearl","#702670","midnight pearl"
"Misty Moss","#bbb477","misty moss"
"Moonstone","#3aa8c1","moonstone"
"Mountain Meadow","#30ba8f","mountain meadow"
"Mulberry","#c54b8c","mulberry"
"Mummys Tomb","#828e84","mummys tomb"
"Mystic Maroon","#ad4379","mystic maroon"
"Mystic Pearl","#d65282","mystic pearl"
"Navy Blue","#1974d2","navy blue"
"Neon Carrot","#ffa343","neon carrot"
"New Car","#214fc6","new car"
"Ocean Blue Pearl","#4f42b5","ocean blue pearl"
"Ocean Green Pearl","#48bf91","ocean green pearl"
"Ogre Odor","#fd5240","ogre odor"
"Olive Green","#bab86c","olive green"
"Onyx","#353839","onyx"
"Orange Red","#ff2b2b","orange red"
"Orange Soda","#fa5b3d","orange soda"
"Orange Yellow","#f8d568","orange yellow"
"Orange","#ff7538","orange"
"Orchid Pearl","#7b4259","orchid pearl"
"Orchid","#e6a8d7","orchid"
"Outer Space","#414a4c","outer space"
"Outrageous Orange","#ff6e4a","outrageous orange"
"Pacific Blue","#1ca9c9","pacific blue"
"Peach","#ffcfab","peach"
"Pearly Purple","#b768a2","pearly purple"
"Peridot","#abad48","peridot"
"Periwinkle","#c5d0e6","periwinkle"
"Pewter Blue","#8ba8b7","pewter blue"
"Piggy Pink","#fddde6","piggy pink"
"Pine Green","#158078","pine green"
"Pine","#45a27d","pine"
"Pink Flamingo","#fc74fd","pink flamingo"
"Pink Pearl","#b07080","pink pearl"
"Pink Sherbert","#f78fa7","pink sherbert"
"Pixie Powder","#391285","pixie powder"
"Plum","#8e4585","plum"
"Plump Purple","#5946b2","plump purple"
"Polished Pine","#5da493","polished pine"
"Princess Perfume","#ff85cf","princess perfume"
"Purple Heart","#7442c8","purple heart"
